"author","title","journal","year","doi_link","article.type"
"Cumming R","P257 Understanding the effects on lung function of chest binder use in the transgender population","Thorax",2016,"thorax.bmj.com/lookup/doi/10.1136/thoraxjnl-2016-209333.400","Conference Abstract"
"Olson K R","Mental Health of Transgender Children Who Are Supported in Their Identities","Pediatrics",2016,"http://pediatrics.aappublications.org/lookup/doi/10.1542/peds.2015-3223","Data Analysis"
"Steensma T D","Factors Associated With Desistence and Persistence of Childhood Gender Dysphoria: A Quantitative Follow-Up Study","Journal of the American Academy of Child & Adolescent Psychiatry",2013,"linkinghub.elsevier.com/retrieve/pii/S0890856713001871","Data Analysis"
"de Vries A L C","Clinical management of gender dysphoria in children and adolescents: the Dutch approach","Journal of Homosexuality",2012,"www.tandfonline.com/doi/abs/10.1080/00918369.2012.653300","Review"
"Steensma T D","Gender Transitioning before Puberty?","Archives of Sexual Behavior",2011,"http://link.springer.com/10.1007/s10508-011-9752-2","Editorial"
"McDeavitt K","Three decades of ‘Dutch Protocol’ research has not produced reliable evidence","European Journal of Developmental Psychology",2026,"doi.org/10.1080/17405629.2026.2680285","Editorial"
"Gray M","Gender-affirming care for transgender and gender-diverse youth in Oregon: trends over time","Research Connections",2026,"academic.oup.com/rescon/article/doi/10.1093/rescon/vmag049/8657075","Data Analysis"
"Maeda J L K","Gender-Related Care and Spending Among Youth in Medicaid and Children’s Health Insurance Program","JAMA Pediatrics",2026,"doi.org/10.1001/jamapediatrics.2025.6315","Data Analysis"
"de Vries A L C","The Dutch approach for transgender adolescents; past, present and future perspectives","European Journal of Developmental Psychology",2026,"www.tandfonline.com/doi/full/10.1080/17405629.2026.2615311","Review"
"McPherson S","Psychological Outcomes of 12-15-Year-Olds with Gender Dysphoria Receiving Pubertal Suppression in the UK: Assessing Reliable and Clinically Significant Change","Journal of Sex & Marital Therapy",2023,"www.tandfonline.com/doi/full/10.1080/0092623X.2023.2281986","Data Analysis"
"van der Loos M A T C","Continuation of gender-affirming hormones in transgender people starting puberty suppression in adolescence: a cohort study in the Netherlands","The Lancet Child & Adolescent Health",2022,"pubmed.ncbi.nlm.nih.gov/36273487/","Data Analysis"
"Vrouenraets L J J J","Medical decision-making competence regarding puberty suppression: perceptions of transgender adolescents, their parents and clinicians","European Child & Adolescent Psychiatry",2022,"link.springer.com/10.1007/s00787-022-02076-6","Data Analysis"
"Tordoff D M","Mental health outcomes in transgender and nonbinary youths receiving gender-affirming care","JAMA Network Open",2022,"jamanetwork.com/journals/jamanetworkopen/fullarticle/2789423","Data Analysis"
"Carmichael P","Short-term outcomes of pubertal suppression in a selected cohort of 12 to 15 year old young people with persistent gender dysphoria in the UK","PLOS ONE",2021,"dx.plos.org/10.1371/journal.pone.0243894","Data Analysis"
"Russell I","A Longitudinal Study of Features Associated with Autism Spectrum in Clinic Referred, Gender Diverse Adolescents Accessing Puberty Suppression Treatment","Journal of Autism and Developmental Disorders",2021,"http://link.springer.com/10.1007/s10803-020-04698-8","Data Analysis"
"Bungener S L","Sexual Experiences of Young Transgender Persons During and After Gender-Affirmative Treatment","Pediatrics",2020,"http://pediatrics.aappublications.org/lookup/doi/10.1542/peds.2019-1411","Data Analysis"
"Schagen S E E","Bone Development in Transgender Adolescents Treated With GnRH Analogues and Subsequent Gender-Affirming Hormones","The Journal of Clinical Endocrinology & Metabolism",2020,"academic.oup.com/jcem/article/doi/10.1210/clinem/dgaa604/5903559","Data Analysis"
"Achille C","Longitudinal impact of gender-affirming endocrine intervention on the mental health and well-being of transgender youths: preliminary results","International Journal of Pediatric Endocrinology",2020,"ijpeonline.biomedcentral.com/articles/10.1186/s13633-020-00078-2","Data Analysis"
"Schneider M A","Brain Maturation, Cognition and Voice Pattern in a Gender Dysphoria Case under Pubertal Suppression","Frontiers in Human Neuroscience",2017,"http://journal.frontiersin.org/article/10.3389/fnhum.2017.00528/full","Data Analysis"
"Vlot M C","Effect of pubertal suppression and cross-sex hormone therapy on bone turnover markers and bone mineral apparent density (BMAD) in transgender adolescents","Bone",2017,"linkinghub.elsevier.com/retrieve/pii/S8756328216303337","Data Analysis"
"Schagen S E E","Efficacy and Safety of Gonadotropin-Releasing Hormone Agonist Treatment to Suppress Puberty in Gender Dysphoric Adolescents","The Journal of Sexual Medicine",2016,"linkinghub.elsevier.com/retrieve/pii/S1743609516302193","Data Analysis"
"Klink D T","Bone Mass in Young Adulthood Following Gonadotropin-Releasing Hormone Analog Treatment and Cross-Sex Hormone Treatment in Adolescents With Gender Dysphoria","The Journal of Clinical Endocrinology & Metabolism",2015,"academic.oup.com/jcem/article-lookup/doi/10.1210/jc.2014-2439","Data Analysis"
"Costa R","Psychological Support, Puberty Suppression, and Psychosocial Functioning in Adolescents with Gender Dysphoria","The Journal of Sexual Medicine",2015,"https://doi.org/10.1111/jsm.13034","Data Analysis"
"de Vries A L C","Young Adult Psychological Outcome After Puberty Suppression and Gender Reassignment","Pediatrics",2014,"http://pediatrics.aappublications.org/cgi/doi/10.1542/peds.2013-2958","Data Analysis"
"de Vries A L C","Puberty Suppression in Adolescents With Gender Identity Disorder: A Prospective Follow‐Up Study","The Journal of Sexual Medicine",2011,"linkinghub.elsevier.com/retrieve/pii/S1743609515336171","Data Analysis"
"CohenKettenis P T","Puberty Suppression in a Gender-Dysphoric Adolescent: A 22-Year Follow-Up","Archives of Sexual Behavior",2011,"http://link.springer.com/10.1007/s10508-011-9758-9","Case Study"
"Ortmann O","Gonadotrophin-releasing hormone (GnRH) and GnRH agonists: mechanisms of action","Reproductive BioMedicine Online",2002,"www.rbmojournal.com/article/S1472-6483(11)60210-1/abstract","Data Analysis"
"Schunder C","Retrospective Cohort Study of Transgender Adolescents at Strasbourg University Hospital","Children",2026,"www.mdpi.com/2227-9067/13/6/789","Data Analysis"
"Skeith L","Sex Hormone Influences on Venous Thrombotic and Cardiovascular Risk","New England Journal of Medicine",2026,"www.nejm.org/doi/full/10.1056/NEJMra2202438","Review"
"van Zijverden L M","Socioeconomic status among Dutch adults using gender-affirming hormone therapy: comparison with the general population and trajectories around hormone therapy initiation","International Journal of Transgender Health",2026,"doi.org/10.1080/26895269.2026.2636978","Data Analysis"
"Huit T Z","Anger, Aggression, and Irritability in Transgender and Gender Diverse Youth Following Testosterone Initiation: A 12-Month Longitudinal Analysis","Journal of Adolescent Health",2026,"www.jahonline.org/article/S1054-139X(25)00827-4/","Data Analysis"
"Allgayer R M","Heart rate variability in transgender people receiving Gender-Affirming hormone therapy","Endocrine",2026,"link.springer.com/article/10.1007/s12020-025-04512-4","Data Analysis"
"Viana D P D C","Cardiovascular mortality associated with testosterone therapy in cisgender women and transgender men: a systematic review","Frontiers in Endocrinology",2026,"www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2026.1789504/full","Data Analysis"
"Saxby K","All-cause and cause-specific mortality among transgender and gender diverse people: a nationwide cohort study in Australia","The Lancet Regional Health – Western Pacific",2026,"www.thelancet.com/journals/lanwpc/article/PIIS2666-6065(26)00017-9/fulltext","Data Analysis"
"Ciancia S","Effects of gender-affirming hormone therapy from adolescence to adulthood on bone mineral density, body composition and muscle strength","eClinicalMedicine",2026,"linkinghub.elsevier.com/retrieve/pii/S2589537025006595","Data Analysis"
"RojasOviedo J L","Cerebral Venous Sinus Thrombosis Associated With Testosterone Use as Gender-Affirming Hormone Therapy in a Transgender Patient: Case Report and Literature Review","Clinical Case Reports",2026,"onlinelibrary.wiley.com/doi/abs/10.1002/ccr3.72714","Case Study"
"Schwartz L","Emerging and accumulating safety signals for the use of estrogen among transgender women","Discover Mental Health",2025,"doi.org/10.1007/s44192-025-00216-3","Review"
"Da Silva L M B","Pelvic Floor Dysfunction in Transgender Men on Gender-affirming Hormone Therapy: A Descriptive Cross-sectional Study","International Urogynecology Journal",2024,"link.springer.com/10.1007/s00192-024-05779-3","Data Analysis"
"Morssinkhof M W","Changes in depression symptom profile with gender-affirming hormone use in transgender persons","Journal of Affective Disorders",2024,"linkinghub.elsevier.com/retrieve/pii/S0165032723015252","Data Analysis"
"Boogers L S","The dose-dependent effect of estrogen on bone mineral density in trans girls","European Journal of Endocrinology",2023,"academic.oup.com/ejendo/advance-article/doi/10.1093/ejendo/lvad116/7244658","Data Analysis"
"Gupta P","Adherence to Gender Affirming Hormone Therapy in Transgender Adolescents and Adults: A Retrospective Cohort Study","The Journal of Clinical Endocrinology & Metabolism",2023,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgad306/7184149","Data Analysis"
"Chen D","Psychosocial functioning in transgender youth after 2 years of hormones","New England Journal of Medicine",2023,"http://www.nejm.org/doi/10.1056/NEJMoa2206297","Data Analysis"
"Millington K","The effect of gender-affirming hormone treatment on serum creatinine in transgender and gender-diverse youth: implications for estimating GFR","Pediatric Nephrology",2022,"link.springer.com/article/10.1007/s00467-022-05445-0","Data Analysis"
"Roberts C M","Continuation of Gender-affirming Hormones Among Transgender Adolescents and Adults","The Journal of Clinical Endocrinology & Metabolism",2022,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgac251/6572526","Data Analysis"
"Islam N","Is There a Link Between Hormone Use and Diabetes Incidence in Transgender People? Data from the STRONG Cohort","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/107/4/e1549/6429721","Data Analysis"
"Shirazi T N","Timing of peripubertal steroid exposure predicts visuospatial cognition in men: Evidence from three samples","Hormones and Behavior",2020,"linkinghub.elsevier.com/retrieve/pii/S0018506X20300386","Data Analysis"
"Kaltiala R","Adolescent development and psychosocial functioning after starting cross-sex hormones for gender dysphoria","Nordic Journal of Psychiatry",2020,"www.tandfonline.com/doi/full/10.1080/08039488.2019.1691260","Data Analysis"
"Shadid S","Effects of Gender-Affirming Hormone Therapy on Insulin Sensitivity and Incretin Responses in Transgender People","Diabetes Care",2020,"diabetesjournals.org/care/article/43/2/411/36004/Effects-of-Gender-Affirming-Hormone-Therapy-on","Data Analysis"
"Dobrolińska M","Bone Mineral Density in Transgender Individuals After Gonadectomy and Long-Term Gender-Affirming Hormonal Treatment","The Journal of Sexual Medicine",2019,"linkinghub.elsevier.com/retrieve/pii/S174360951931238X","Data Analysis"
"Stoffers I E","Physical changes, laboratory parameters, and bone mineral density during testosterone treatment in adolescents with gender dysphoria","The Journal of Sexual Medicine",2019,"www.sciencedirect.com/science/article/abs/pii/S1743609519312731","Data Analysis"
"Nota N M","Occurrence of Acute Cardiovascular Events in Transgender Individuals Receiving Hormone Therapy: Results From a Large Cohort Study","Circulation",2019,"www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.118.038584","Data Analysis"
"Getahun D","Cross-sex Hormones and Acute Cardiovascular Events in Transgender Persons","Annals of internal medicine",2018,"www.ncbi.nlm.nih.gov/pmc/articles/PMC6636681/","Data Analysis"
"Nota N M","The occurrence of benign brain tumours in transgender individuals during cross-sex hormone treatment","Brain",2018,"academic.oup.com/brain/article/141/7/2047/4983052","Data Analysis"
"OlsonKennedy J","Physiologic Response to Gender-Affirming Hormones Among Transgender Youth","Journal of Adolescent Health",2018,"linkinghub.elsevier.com/retrieve/pii/S1054139X17304123","Data Analysis"
"Kranz G S","Effects of testosterone treatment on hypothalamic neuroplasticity in female-to-male transgender individuals","Brain Structure & Function",2018,"link.springer.com/article/10.1007/s00429-017-1494-z","Data Analysis"
"Bos P A","Testosterone reduces functional connectivity during the ‘Reading the Mind in the Eyes’ Test","Psychoneuroendocrinology",2016,"pmc.ncbi.nlm.nih.gov/articles/PMC6345363/","Data Analysis"
"Straub J J","Risk of Suicide and Self-Harm Following Gender-Affirmation Surgery","Cureus",2024,"www.cureus.com/articles/201512-risk-of-suicide-and-self-harm-following-gender-affirmation-surgery","Data Analysis"
"Meece M S","Major complications of sigmoid vaginoplasty: a case series","Journal of Surgical Case Reports",2023,"academic.oup.com/jscr/article/doi/10.1093/jscr/rjad333/7195771","Data Analysis"
"Barger B T","Non-typhoidal Salmonella soft-tissue infection after gender affirming subcutaneous mastectomy case report","Case Reports in Plastic Surgery & Hand Surgery",2023,"www.tandfonline.com/doi/10.1080/23320885.2023.2185621","Case Study"
"Ring A","Confounding Effects on Mental Health Observations After Sex Reassignment Surgery","American Journal of Psychiatry",2020,"http://ajp.psychiatryonline.org/doi/10.1176/appi.ajp.2020.19111169","Editorial"
"Cuccolo N G","Mastectomy in Transgender and Cisgender Patients: A Comparative Analysis of Epidemiology and Postoperative Outcomes","Plastic and Reconstructive Surgery - Global Open",2019,"journals.lww.com/01720096-201906000-00007","Data Analysis"
"Wilson S C","Masculinizing Top Surgery: A Systematic Review of Techniques and Outcomes","Annals of Plastic Surgery",2018,"journals.lww.com/annalsplasticsurgery/abstract/2018/06000/masculinizing_top_surgery__a_systematic_review_of.18.aspx","Data Analysis"
"OlsonKennedy J","Chest Reconstruction and Chest Dysphoria in Transmasculine Minors and Young Adults: Comparisons of Nonsurgical and Postsurgical Cohorts","JAMA Pediatrics",2018,"http://archpedi.jamanetwork.com/article.aspx?doi=10.1001/jamapediatrics.2017.5440","Data Analysis"
